Company Name,Date of filing,Time of filing,Document Type,File Format,File Size
"Maritime Launch Services Inc. (formerly, Jaguar Financial Corporation)",Apr 25 2022,16:54:47 ET,Other material contracts - English,PDF,269 K
"Maritime Launch Services Inc. (formerly, Jaguar Financial Corporation)",Apr 25 2022,16:54:47 ET,Other material contracts - English,PDF,4235 K
"Maritime Launch Services Inc. (formerly, Jaguar Financial Corporation)",Apr 25 2022,16:54:47 ET,Other material contracts - English,PDF,8153 K
"Maritime Launch Services Inc. (formerly, Jaguar Financial Corporation)",Apr 25 2022,16:54:47 ET,Other material contracts - English,PDF,72 K
"Maritime Launch Services Inc. (formerly, Jaguar Financial Corporation)",Apr 25 2022,16:54:47 ET,Other material contracts - English,PDF,58 K
"Maritime Launch Services Inc. (formerly, Jaguar Financial Corporation)",Apr 25 2022,16:54:47 ET,Other material contracts - English,PDF,1052 K
"Maritime Launch Services Inc. (formerly, Jaguar Financial Corporation)",Apr 25 2022,16:47:44 ET,Filing statement - English,PDF,3703 K
Marvel Discovery Corp.,Apr 25 2022,13:38:40 ET,News release - English,PDF,242 K
Master Credit Card Trust II,Apr 25 2022,12:32:47 ET,Other,PDF,97 K
McCoy Global Inc.,Apr 25 2022,18:48:00 ET,Notice of the meeting and record date - English,PDF,315 K
McCoy Global Inc.,Apr 25 2022,17:35:01 ET,News release - English,PDF,43 K
McEwen Mining Inc. (formerly US Gold Corporation),Apr 25 2022,16:19:29 ET,Other,PDF,1363 K
Medgold Resources Corp.,Apr 25 2022,13:34:42 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,103 K
Medgold Resources Corp.,Apr 25 2022,13:34:42 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,104 K
Medgold Resources Corp.,Apr 25 2022,13:33:43 ET,MD&A - English,PDF,988 K
Medgold Resources Corp.,Apr 25 2022,13:32:51 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,58 K
Medgold Resources Corp.,Apr 25 2022,13:32:51 ET,Audited annual financial statements - English,PDF,353 K
Medicine Man Technologies Inc. d/b/a Schwazze,Apr 25 2022,06:52:24 ET,News release - English,PDF,34 K
MEG Energy Corp.,Apr 25 2022,19:02:54 ET,News release - English,PDF,198 K
Metallum Resources Inc.,Apr 25 2022,22:09:00 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,104 K
Metallum Resources Inc.,Apr 25 2022,22:09:00 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,104 K
Metallum Resources Inc.,Apr 25 2022,22:08:26 ET,MD&A - English,PDF,518 K
Metallum Resources Inc.,Apr 25 2022,22:07:45 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,57 K
Metallum Resources Inc.,Apr 25 2022,22:07:45 ET,Audited annual financial statements - English,PDF,554 K
Metals Creek Resources Corp.,Apr 25 2022,08:36:36 ET,News release - English,PDF,244 K
Mineral Mountain Resources Ltd.,Apr 25 2022,08:09:25 ET,News release - English,PDF,103 K
The Mint Corporation,Apr 25 2022,09:26:07 ET,Material change report - English,PDF,728 K
Miramis Mining Corp.,Apr 25 2022,19:18:06 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,99 K
Miramis Mining Corp.,Apr 25 2022,19:18:06 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,341 K
Miramis Mining Corp.,Apr 25 2022,19:13:34 ET,MD&A - English,PDF,174 K
Miramis Mining Corp.,Apr 25 2022,19:11:00 ET,AB Form 13-501F2 (Class 2 Reporting Issuers - Participation Fee),PDF,411 K
Miramis Mining Corp.,Apr 25 2022,19:11:00 ET,Audited annual financial statements - English,PDF,592 K
Monarca Minerals Inc. (formerly Oremex Silver Inc.),Apr 25 2022,16:53:11 ET,Interim financial statements/report - English,PDF,102 K
Monarca Minerals Inc. (formerly Oremex Silver Inc.),Apr 25 2022,16:52:49 ET,MD&A - English,PDF,122 K
Monarca Minerals Inc. (formerly Oremex Silver Inc.),Apr 25 2022,16:52:29 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,9 K
Monarca Minerals Inc. (formerly Oremex Silver Inc.),Apr 25 2022,16:52:29 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,10 K
Montage Gold Corp.,Apr 25 2022,09:29:23 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,122 K
Montage Gold Corp.,Apr 25 2022,09:29:23 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,119 K
Montage Gold Corp.,Apr 25 2022,09:29:05 ET,News release - English,PDF,1624 K
Montage Gold Corp.,Apr 25 2022,09:28:31 ET,Annual information form - English,PDF,671 K
Monumental Minerals Corp. (formerly Monumental Gold Corp.),Apr 25 2022,08:03:25 ET,News release - English,PDF,1234 K
Morien Resources Corp.,Apr 25 2022,08:17:15 ET,News release - English,PDF,29 K
Mountain Province Diamonds Inc.,Apr 25 2022,17:30:46 ET,News release - English,PDF,131 K
NanoSphere Health Sciences Inc.,Apr 25 2022,19:59:10 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,103 K
NanoSphere Health Sciences Inc.,Apr 25 2022,19:59:10 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,101 K
NanoSphere Health Sciences Inc.,Apr 25 2022,19:56:11 ET,MD&A - English,PDF,315 K
NanoSphere Health Sciences Inc.,Apr 25 2022,19:55:22 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,90 K
NanoSphere Health Sciences Inc.,Apr 25 2022,19:55:22 ET,Audited annual financial statements - English,PDF,715 K
NanoSphere Health Sciences Inc.,Apr 25 2022,19:55:22 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,40 K
National Bank of Canada,Apr 22 2022,16:01:24 ET,Marketing materials - English,PDF,173 K
National Bank of Canada,Apr 22 2022,16:01:24 ET,Marketing materials - English,PDF,509 K
National Bank of Canada,Apr 22 2022,16:01:24 ET,Marketing materials - French,PDF,220 K
National Bank of Canada,Apr 22 2022,16:01:24 ET,Marketing materials - French,PDF,550 K
National Bank of Canada,Apr 22 2022,16:01:24 ET,Marketing materials - French,PDF,217 K
National Bank of Canada,Apr 22 2022,15:57:55 ET,Pricing supplement (specified derivative) - English,PDF,256 K
National Bank of Canada,Apr 22 2022,15:57:55 ET,Pricing supplement (specified derivative) - English,PDF,318 K
National Bank of Canada,Apr 22 2022,15:57:55 ET,Pricing supplement (specified derivative) - English,PDF,366 K
National Bank of Canada,Apr 22 2022,15:57:55 ET,Pricing supplement (specified derivative) - French,PDF,302 K
National Bank of Canada,Apr 22 2022,15:57:55 ET,Pricing supplement (specified derivative) - French,PDF,378 K
National Bank of Canada,Apr 22 2022,15:57:55 ET,Pricing supplement (specified derivative) - French,PDF,416 K
NeonMind Biosciences Inc.,Apr 25 2022,21:14:11 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,96 K
NeonMind Biosciences Inc.,Apr 25 2022,21:14:11 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,98 K
NeonMind Biosciences Inc.,Apr 25 2022,21:10:17 ET,Interim financial statements/report - English,PDF,561 K
NeonMind Biosciences Inc.,Apr 25 2022,21:05:28 ET,MD&A - English,PDF,616 K
Nevada King Gold Corp.,Apr 25 2022,10:37:29 ET,Early warning report,PDF,154 K
Nevada Silver Corporation (formerly NBS Capital Inc.),Apr 25 2022,10:52:41 ET,News release - English,PDF,179 K
NevGold Corp.,Apr 25 2022,19:18:01 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,52 K
NevGold Corp.,Apr 25 2022,19:18:01 ET,Audited annual financial statements - English,PDF,547 K
NevGold Corp.,Apr 25 2022,19:18:01 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,14 K
NevGold Corp.,Apr 25 2022,19:16:50 ET,MD&A - English,PDF,403 K
NevGold Corp.,Apr 25 2022,19:16:24 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,170 K
NevGold Corp.,Apr 25 2022,19:16:24 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,171 K
"Nexa Resources S.A. (formerly, VM Holding S.A.)",Apr 25 2022,16:39:21 ET,News release - English,PDF,3302 K
Nexera Energy Inc.,Apr 25 2022,20:32:09 ET,News release - English,PDF,182 K
Nexera Energy Inc.,Apr 25 2022,18:54:27 ET,Other,PDF,72 K
NexGen Energy Ltd.,Apr 25 2022,06:53:16 ET,News release - English,PDF,117 K
Nextleaf Solutions Ltd.,Apr 25 2022,16:04:52 ET,Material change report - English,PDF,134 K
NFI Group Inc. (formerly New Flyer Industries Inc.),Apr 25 2022,07:09:39 ET,News release - English,PDF,273 K
Noble Mineral Exploration Inc.,Apr 25 2022,10:21:51 ET,News release - English,PDF,378 K
North American Nickel Inc.,Apr 25 2022,17:07:03 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,108 K
North American Nickel Inc.,Apr 25 2022,17:07:03 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,149 K
North American Nickel Inc.,Apr 25 2022,17:03:45 ET,MD&A - English,PDF,1094 K
North American Nickel Inc.,Apr 25 2022,17:02:22 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,57 K
North American Nickel Inc.,Apr 25 2022,17:02:22 ET,Audited annual financial statements - English,PDF,561 K
North American Nickel Inc.,Apr 25 2022,17:02:22 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,57 K
Northstar Clean Technologies Inc.,Apr 25 2022,16:15:35 ET,News release - English,PDF,204 K
Northstar Clean Technologies Inc.,Apr 25 2022,12:32:26 ET,MD&A - English,PDF,389 K
Northstar Clean Technologies Inc.,Apr 25 2022,12:31:54 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,98 K
Northstar Clean Technologies Inc.,Apr 25 2022,12:31:54 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,144 K
Northstar Clean Technologies Inc.,Apr 25 2022,12:31:08 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,57 K
Northstar Clean Technologies Inc.,Apr 25 2022,12:31:08 ET,Audited annual financial statements - English,PDF,610 K
Northstar Clean Technologies Inc.,Apr 25 2022,12:31:08 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,233 K
Northstar Gold Corp.,Apr 25 2022,22:50:47 ET,Consent of qualified person (NI 43-101) - English,PDF,115 K
Northstar Gold Corp.,Apr 25 2022,22:34:44 ET,Certificate of qualified person (NI 43-101) - English,PDF,59 K
Northstar Gold Corp.,Apr 25 2022,22:34:44 ET,Technical report (NI 43-101) - English,PDF,14318 K
Nova Cannabis Inc.,Apr 25 2022,14:10:49 ET,Notice of the meeting and record date - English,PDF,128 K
O2Gold Inc.,Apr 25 2022,20:04:55 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,150 K
O2Gold Inc.,Apr 25 2022,20:04:55 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,150 K
O2Gold Inc.,Apr 25 2022,20:03:24 ET,MD&A - English,PDF,2990 K
O2Gold Inc.,Apr 25 2022,20:02:21 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,56 K
O2Gold Inc.,Apr 25 2022,20:02:21 ET,Audited annual financial statements - English,PDF,425 K
O2Gold Inc.,Apr 25 2022,20:02:21 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,69 K
Oberon Uranium Corp.,Apr 25 2022,15:15:22 ET,Offering document - English,PDF,573 K
Oberon Uranium Corp.,Apr 25 2022,15:11:10 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,432 K
Obsidian Energy Ltd.,Apr 25 2022,18:49:38 ET,News release - English,PDF,129 K
One Bullion Limited,Apr 25 2022,09:05:00 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,189 K
Ophir Gold Corp. (formerly MinKap Resources Inc.),Apr 25 2022,07:53:41 ET,News release - English,PDF,288 K
Optiva Inc. (formerly Redknee Solutions Inc.),Apr 25 2022,15:06:00 ET,Notice of the meeting and record date - English,PDF,312 K
Organic Potash Corporation,Apr 25 2022,12:01:38 ET,Notice of the meeting and record date - English,PDF,313 K
Orosur Mining Inc.,Apr 25 2022,07:10:56 ET,News release - English,PDF,145 K
"Osisko Development Corp. (formerly ""Barolo Ventures Corp."")",Apr 25 2022,17:41:28 ET,Decision Document (Preliminary),PDF,404 K
"Osisko Development Corp. (formerly ""Barolo Ventures Corp."")",Apr 25 2022,16:53:09 ET,Preliminary short form prospectus - French,PDF,386 K
"Osisko Development Corp. (formerly ""Barolo Ventures Corp."")",Apr 22 2022,19:10:50 ET,Preliminary short form prospectus - English,PDF,210 K
"Osisko Development Corp. (formerly ""Barolo Ventures Corp."")",Apr 22 2022,19:10:50 ET,Qualification certificate,PDF,5 K
Osisko Mining Inc.,Apr 25 2022,13:12:31 ET,Certificate re dissemination to shareholders,PDF,127 K
Outcrop Silver & Gold Corporation,Apr 25 2022,17:20:07 ET,MD&A - English,PDF,357 K
Outcrop Silver & Gold Corporation,Apr 25 2022,17:19:31 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,232 K
Outcrop Silver & Gold Corporation,Apr 25 2022,17:19:31 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,278 K
Outcrop Silver & Gold Corporation,Apr 25 2022,17:18:48 ET,Interim financial statements/report - English,PDF,656 K
Padlock Partners UK Fund II,Apr 25 2022,20:45:45 ET,News release - English,PDF,199 K
Padlock Partners UK Fund II,Apr 25 2022,20:44:44 ET,AB Form 13-501F2 (Class 2 Reporting Issuers - Participation Fee),PDF,6 K
Padlock Partners UK Fund II,Apr 25 2022,20:44:44 ET,Audited annual financial statements - English,PDF,720 K
Padlock Partners UK Fund II,Apr 25 2022,20:44:44 ET,ON Form 13-502F2 (Class 2 Reporting Issuers - Participation Fee),PDF,6 K
Padlock Partners UK Fund II,Apr 25 2022,20:43:35 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,9 K
Padlock Partners UK Fund II,Apr 25 2022,20:43:35 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,9 K
Padlock Partners UK Fund II,Apr 25 2022,20:43:26 ET,MD&A - English,PDF,126 K
Palladium One Mining Inc.,Apr 25 2022,13:55:19 ET,News release - English,PDF,430 K
Palladium One Mining Inc.,Apr 25 2022,07:08:18 ET,News release - English,PDF,429 K
Paragon Capital Corp. Inc.,Apr 25 2022,16:19:44 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,7838 K
Paragon Capital Corp. Inc.,Apr 25 2022,16:18:12 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,7838 K
Paragon Capital Corp. Inc.,Apr 25 2022,15:53:55 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,7838 K
Paragon Capital Corp. Inc.,Apr 25 2022,15:39:11 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,7838 K
Paragon Capital Corp. Inc.,Apr 25 2022,15:29:26 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,7838 K
Parkit Enterprise Inc.,Apr 25 2022,17:09:17 ET,News release - English,PDF,20 K
Pasofino Gold Limited,Apr 25 2022,10:15:55 ET,News release - English,PDF,51 K
"Paycore Minerals Inc. (formerly ""Aardvark Capital Corp."")",Apr 25 2022,07:21:01 ET,News release - English,PDF,314 K
Pegasus Resources Inc.,Apr 25 2022,13:13:19 ET,News release - English,PDF,935 K
Peloton Minerals Corporation,Apr 25 2022,15:35:39 ET,Notice of the meeting and record date - English,PDF,535 K
PERSEUS MINING LIMITED,Apr 25 2022,19:32:14 ET,News release - English,PDF,1104 K
PharmaTher Holdings Ltd.,Apr 25 2022,17:16:05 ET,News release - English,PDF,85 K
PharmaTher Holdings Ltd.,Apr 25 2022,17:03:30 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,85 K
PharmaTher Holdings Ltd.,Apr 25 2022,17:03:30 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,84 K
PharmaTher Holdings Ltd.,Apr 25 2022,17:02:23 ET,MD&A - English,PDF,424 K
PharmaTher Holdings Ltd.,Apr 25 2022,17:01:11 ET,Interim financial statements/report - English,PDF,139 K
Pinedale Energy Limited,Apr 25 2022,20:47:16 ET,MD&A - English,PDF,455 K
Pinedale Energy Limited,Apr 25 2022,20:46:46 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,143 K
Pinedale Energy Limited,Apr 25 2022,20:46:46 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,143 K
Pinedale Energy Limited,Apr 25 2022,20:45:32 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,655 K
Pinedale Energy Limited,Apr 25 2022,20:45:32 ET,Audited annual financial statements - English,PDF,600 K
Pinedale Energy Limited,Apr 25 2022,20:45:32 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,135 K
"PlantX Life Inc. (formerly, Vegaste Technologies Corp.)",Apr 25 2022,08:37:51 ET,News release - English,PDF,76 K
Power Group Projects Corp.,Apr 25 2022,18:39:52 ET,News release - English,PDF,206 K
Prairie Provident Resources Inc.,Apr 25 2022,17:25:10 ET,Form of proxy - English,PDF,112 K
Prairie Provident Resources Inc.,Apr 25 2022,17:25:10 ET,Management information circular - English,PDF,625 K
Prairie Provident Resources Inc.,Apr 25 2022,17:25:10 ET,Notice of meeting - English,PDF,133 K
Prairie Provident Resources Inc.,Apr 25 2022,17:25:10 ET,Other,PDF,69 K
Prairie Provident Resources Inc.,Apr 25 2022,17:25:10 ET,Other,PDF,132 K
Profound Medical Corp. (formerly Mira IV Acquisition Corp.),Apr 25 2022,16:39:41 ET,News release - English,PDF,20 K
Pro Real Estate Investment Trust,Apr 25 2022,16:49:09 ET,Form of proxy - English,PDF,431 K
Pro Real Estate Investment Trust,Apr 25 2022,16:49:09 ET,Form of proxy - French,PDF,504 K
Pro Real Estate Investment Trust,Apr 25 2022,16:49:09 ET,Management information circular - English,PDF,718 K
Pro Real Estate Investment Trust,Apr 25 2022,16:49:09 ET,Management information circular - French,PDF,771 K
Pro Real Estate Investment Trust,Apr 25 2022,16:49:09 ET,Notice of meeting - English,PDF,133 K
Pro Real Estate Investment Trust,Apr 25 2022,16:49:09 ET,Notice of meeting - French,PDF,128 K
Pro Real Estate Investment Trust,Apr 25 2022,16:47:47 ET,Annual information form - French,PDF,1126 K
PYROGENESIS CANADA INC.,Apr 25 2022,07:42:37 ET,News release - English,PDF,24 K
Q-Gold Resources Ltd.,Apr 25 2022,14:03:02 ET,Notice of the meeting and record date - English,PDF,538 K
"Quarterhill Inc. (formerly, Wi-LAN Inc.)",Apr 25 2022,09:57:16 ET,Report of voting results,PDF,76 K
"Quarterhill Inc. (formerly, Wi-LAN Inc.)",Apr 25 2022,06:51:02 ET,News release - English,PDF,29 K
QYOU Media Inc.,Apr 25 2022,19:00:25 ET,Notice of the meeting and record date - English,PDF,315 K
QYOU Media Inc.,Apr 25 2022,14:40:55 ET,Notice of the meeting and record date (amended) - English,PDF,65 K
Radius Gold Inc.,Apr 25 2022,11:02:20 ET,News release - English,PDF,648 K
Raffles Financial Group Limited,Apr 25 2022,20:04:59 ET,News release - English,PDF,164 K
Raindrop Ventures Inc.,Apr 25 2022,12:20:09 ET,News release - English,PDF,7 K
"Ranchero Gold Corp. (Formerly, Melior Resources Inc.)",Apr 25 2022,18:16:02 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,74 K
"Ranchero Gold Corp. (Formerly, Melior Resources Inc.)",Apr 25 2022,18:16:02 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,73 K
"Ranchero Gold Corp. (Formerly, Melior Resources Inc.)",Apr 25 2022,18:13:20 ET,MD&A - English,PDF,512 K
"Ranchero Gold Corp. (Formerly, Melior Resources Inc.)",Apr 25 2022,18:11:31 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,57 K
"Ranchero Gold Corp. (Formerly, Melior Resources Inc.)",Apr 25 2022,18:11:31 ET,Audited annual financial statements - English,PDF,572 K
"Ranchero Gold Corp. (Formerly, Melior Resources Inc.)",Apr 25 2022,18:11:31 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,141 K
"ReGen III Corp. (formerly ""Gen III Oil Corporation"")",Apr 25 2022,21:32:34 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,99 K
"ReGen III Corp. (formerly ""Gen III Oil Corporation"")",Apr 25 2022,21:32:34 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,101 K
"ReGen III Corp. (formerly ""Gen III Oil Corporation"")",Apr 25 2022,21:31:39 ET,MD&A - English,PDF,2142 K
"ReGen III Corp. (formerly ""Gen III Oil Corporation"")",Apr 25 2022,21:29:31 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,88 K
"ReGen III Corp. (formerly ""Gen III Oil Corporation"")",Apr 25 2022,21:29:31 ET,Audited annual financial statements - English,PDF,710 K
"ReGen III Corp. (formerly ""Gen III Oil Corporation"")",Apr 25 2022,21:29:31 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,943 K
RE Royalties Ltd. (formerly Baetis Ventures Ltd.),Apr 25 2022,19:11:26 ET,News release - English,PDF,273 K
Revive Therapeutics Ltd.,Apr 25 2022,16:51:04 ET,News release - English,PDF,26 K
Reyna Gold Corp.,Apr 25 2022,22:10:55 ET,News release - English,PDF,494 K
Reyna Silver Corp. (formerly Century Metals Inc.),Apr 25 2022,15:02:56 ET,Notice of the meeting and record date - English,PDF,536 K
RIOCAN REAL ESTATE INVESTMENT TRUST,Apr 25 2022,19:34:11 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1 (amended),PDF,807 K
"RIV Capital Inc. (formerly, Canopy Rivers Inc.)",Apr 25 2022,13:22:36 ET,Other material contracts - English,PDF,213 K
"RIV Capital Inc. (formerly, Canopy Rivers Inc.)",Apr 25 2022,13:22:36 ET,Other material contracts - English,PDF,54 K
Rome Resources Ltd.,Apr 25 2022,13:36:41 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,138 K
Rome Resources Ltd.,Apr 25 2022,13:36:00 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,138 K
Rome Resources Ltd.,Apr 25 2022,13:35:06 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,143 K
Royal Coal Corp.,Apr 25 2022,08:28:36 ET,AB Form 13-501F2 (Class 2 Reporting Issuers - Participation Fee),PDF,118 K
Royal Coal Corp.,Apr 25 2022,08:28:36 ET,Audited annual financial statements - English,PDF,1210 K
Royal Coal Corp.,Apr 25 2022,08:28:36 ET,ON Form 13-502F2 (Class 2 Reporting Issuers - Participation Fee),PDF,214 K
Royal Coal Corp.,Apr 25 2022,08:28:05 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,137 K
Royal Coal Corp.,Apr 25 2022,08:28:05 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,137 K
Royal Coal Corp.,Apr 25 2022,08:27:56 ET,MD&A - English,PDF,217 K
RYU Apparel Inc.,Apr 25 2022,06:51:03 ET,News release - English,PDF,91 K
"Sabio Holdings Inc. (formerly, Spirit Banner II Capital Corp.)",Apr 25 2022,10:09:17 ET,Notice of the meeting and record date - English,PDF,535 K
Sekur Private Data Ltd.,Apr 25 2022,08:00:46 ET,News release - English,PDF,66 K
ShaMaran Petroleum Corp.,Apr 25 2022,17:55:20 ET,News release - English,PDF,279 K
ShaMaran Petroleum Corp.,Apr 25 2022,17:52:44 ET,Notice of filing of 51-101 F1 Information (Form 51-101 F4),PDF,124 K
ShaMaran Petroleum Corp.,Apr 25 2022,17:50:53 ET,Annual information form - English,PDF,1416 K
ShaMaran Petroleum Corp.,Apr 25 2022,17:43:43 ET,MD&A - English,PDF,741 K
ShaMaran Petroleum Corp.,Apr 25 2022,17:41:57 ET,52-109F1-AIF - Certification of filings with voluntarily filed AIF - CEO (E),PDF,177 K
ShaMaran Petroleum Corp.,Apr 25 2022,17:41:57 ET,52-109F1-AIF - Certification of filings with voluntarily filed AIF - CFO (E),PDF,178 K
ShaMaran Petroleum Corp.,Apr 25 2022,17:39:28 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,149 K
ShaMaran Petroleum Corp.,Apr 25 2022,17:39:28 ET,Audited annual financial statements - English,PDF,1486 K
ShaMaran Petroleum Corp.,Apr 25 2022,17:39:28 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,94 K
Silk Energy Limited,Apr 25 2022,16:16:20 ET,Other material contracts - English,PDF,21451 K
Silo Wellness Inc. (formerly Yukoterre Resources Inc.),Apr 25 2022,11:28:46 ET,Notice of the meeting and record date - English,PDF,79 K
Silver Bullet Mines Corp.,Apr 25 2022,08:10:10 ET,News release - English,PDF,35 K
Silver One Resources Inc.,Apr 25 2022,07:14:32 ET,News release - English,PDF,155 K
Silver Phoenix Resources Inc.,Apr 25 2022,16:09:19 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,8 K
Silver Phoenix Resources Inc.,Apr 25 2022,16:09:19 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,8 K
Silver Phoenix Resources Inc.,Apr 25 2022,16:08:43 ET,MD&A - English,PDF,284 K
Silver Phoenix Resources Inc.,Apr 25 2022,16:07:55 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,72 K
Silver Phoenix Resources Inc.,Apr 25 2022,16:07:55 ET,Audited annual financial statements - English,PDF,327 K
Silver Phoenix Resources Inc.,Apr 25 2022,16:07:55 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,85 K
Skyline Investments Inc.,Apr 25 2022,15:47:29 ET,Other,PDF,92 K
Skyline Investments Inc.,Apr 25 2022,15:47:29 ET,Other,PDF,22 K
"SmartCentres Real Estate Investment Trust (formerly, Smart Real Estate Investment Trust)",Apr 25 2022,16:08:43 ET,News release - English,PDF,154 K
Smart Employee Benefits Inc,Apr 25 2022,08:22:55 ET,News release - English,PDF,188 K
Snowline Gold Corp.,Apr 25 2022,22:44:21 ET,MD&A - English,PDF,396 K
Snowline Gold Corp.,Apr 25 2022,22:43:52 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,103 K
Snowline Gold Corp.,Apr 25 2022,22:43:52 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,102 K
Snowline Gold Corp.,Apr 25 2022,22:43:32 ET,Interim financial statements/report - English,PDF,478 K
SOL Global Investments Corp. (formerly Scythian Biosciences Corp.),Apr 25 2022,19:26:03 ET,News release - English,PDF,110 K
Sonor Investments Limited,Apr 25 2022,13:04:26 ET,Form of proxy - English,PDF,23 K
Sonor Investments Limited,Apr 25 2022,13:04:26 ET,Management information circular - English,PDF,202 K
Sonor Investments Limited,Apr 25 2022,13:04:26 ET,Notice of meeting - English,PDF,100 K
Sonor Investments Limited,Apr 25 2022,13:03:54 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,320 K
Sonor Investments Limited,Apr 25 2022,13:03:54 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,315 K
Sonor Investments Limited,Apr 25 2022,13:03:30 ET,MD&A - English,PDF,121 K
Sonor Investments Limited,Apr 25 2022,13:03:09 ET,Interim financial statements/report - English,PDF,3926 K
Sonor Investments Limited,Apr 25 2022,13:02:24 ET,News release - English,PDF,42 K
